"sha256","apk_name","apk_path","size_bytes","matched_pt","deleted_at"
"0005e35076402af3e3885353678dc124a54fc8166e64d6f8d576361be234bf1d","0005e35076402af3e3885353678dc124a54fc8166e64d6f8d576361be234bf1d.apk","E:\resource\train\0005e35076402af3e3885353678dc124a54fc8166e64d6f8d576361be234bf1d.apk","22717740","E:\pts_tri\train\0005e35076402af3e3885353678dc124a54fc8166e64d6f8d576361be234bf1d.pt","2026-05-29T13:48:55"
"0009c0561158e9f28582dd2c62c7b1ee9789e3333707c49c11cffcc3513de406","0009c0561158e9f28582dd2c62c7b1ee9789e3333707c49c11cffcc3513de406.apk","E:\resource\train\0009c0561158e9f28582dd2c62c7b1ee9789e3333707c49c11cffcc3513de406.apk","576736","E:\pts_tri\train\0009c0561158e9f28582dd2c62c7b1ee9789e3333707c49c11cffcc3513de406.pt","2026-05-29T13:48:55"
"0016913e62a2799a14ec9e2d67fb539de5305fb3d1855817befaabe49de9bdb3","0016913e62a2799a14ec9e2d67fb539de5305fb3d1855817befaabe49de9bdb3.apk","E:\resource\train\0016913e62a2799a14ec9e2d67fb539de5305fb3d1855817befaabe49de9bdb3.apk","8821240","E:\pts_tri\train\0016913e62a2799a14ec9e2d67fb539de5305fb3d1855817befaabe49de9bdb3.pt","2026-05-29T13:48:55"
"001947cfa0b4b6dadda771ca3535b882304816e1e03998eb05ceafb037e8fa61","001947cfa0b4b6dadda771ca3535b882304816e1e03998eb05ceafb037e8fa61.apk","E:\resource\train\001947cfa0b4b6dadda771ca3535b882304816e1e03998eb05ceafb037e8fa61.apk","9674561","E:\pts_tri\train\001947cfa0b4b6dadda771ca3535b882304816e1e03998eb05ceafb037e8fa61.pt","2026-05-29T13:48:55"
"0019ce6519cec536bfe684a32bba58377ff2b4064b039d259f4d1bac9425f100","0019ce6519cec536bfe684a32bba58377ff2b4064b039d259f4d1bac9425f100.apk","E:\resource\train\0019ce6519cec536bfe684a32bba58377ff2b4064b039d259f4d1bac9425f100.apk","5794374","E:\pts_tri\train\0019ce6519cec536bfe684a32bba58377ff2b4064b039d259f4d1bac9425f100.pt","2026-05-29T13:48:55"
"00243571b972d509f219cdb71df7450aa1fc3d2706c36d7b72a03c534e7790a8","00243571b972d509f219cdb71df7450aa1fc3d2706c36d7b72a03c534e7790a8.apk","E:\resource\train\00243571b972d509f219cdb71df7450aa1fc3d2706c36d7b72a03c534e7790a8.apk","6040610","E:\pts_tri\train\00243571b972d509f219cdb71df7450aa1fc3d2706c36d7b72a03c534e7790a8.pt","2026-05-29T13:48:55"
"00245d7bbbeeb88ba18de4df5a98d54f37b156f124b0e63db2bee2ac168a7a78","00245d7bbbeeb88ba18de4df5a98d54f37b156f124b0e63db2bee2ac168a7a78.apk","E:\resource\train\00245d7bbbeeb88ba18de4df5a98d54f37b156f124b0e63db2bee2ac168a7a78.apk","31826730","E:\pts_tri\train\00245d7bbbeeb88ba18de4df5a98d54f37b156f124b0e63db2bee2ac168a7a78.pt","2026-05-29T13:48:55"
"0036e6adfea0017109ba482b7e21c8a9fd643d2c0331c0634276fc46bb72a6c4","0036e6adfea0017109ba482b7e21c8a9fd643d2c0331c0634276fc46bb72a6c4.apk","E:\resource\train\0036e6adfea0017109ba482b7e21c8a9fd643d2c0331c0634276fc46bb72a6c4.apk","15041628","E:\pts_tri\train\0036e6adfea0017109ba482b7e21c8a9fd643d2c0331c0634276fc46bb72a6c4.pt","2026-05-29T13:48:55"
"004190cfe06cf9e580c0b7196f5b7a44dee95858d359204c21737cf42252c12b","004190cfe06cf9e580c0b7196f5b7a44dee95858d359204c21737cf42252c12b.apk","E:\resource\train\004190cfe06cf9e580c0b7196f5b7a44dee95858d359204c21737cf42252c12b.apk","85319469","E:\pts_tri\train\004190cfe06cf9e580c0b7196f5b7a44dee95858d359204c21737cf42252c12b.pt","2026-05-29T13:48:55"
"0042b66c80f4024471f0bd339970712e9a78c6b412b8a7744a5309b444289518","0042b66c80f4024471f0bd339970712e9a78c6b412b8a7744a5309b444289518.apk","E:\resource\train\0042b66c80f4024471f0bd339970712e9a78c6b412b8a7744a5309b444289518.apk","31706027","E:\pts_tri\train\0042b66c80f4024471f0bd339970712e9a78c6b412b8a7744a5309b444289518.pt","2026-05-29T13:48:55"
