"root","sha256","apk_name","source_path","target_split","target_path","status"
"D:\train","000803185ff80e635734335f6eb7e5cb602bdead3771404f9f394f30ddf6b203","000803185ff80e635734335f6eb7e5cb602bdead3771404f9f394f30ddf6b203.apk","D:\train\000803185ff80e635734335f6eb7e5cb602bdead3771404f9f394f30ddf6b203.apk","_unmatched_not_in_split_csv","D:\train\_unmatched_not_in_split_csv\000803185ff80e635734335f6eb7e5cb602bdead3771404f9f394f30ddf6b203.apk","moved"
"D:\train","0009c0561158e9f28582dd2c62c7b1ee9789e3333707c49c11cffcc3513de406","0009c0561158e9f28582dd2c62c7b1ee9789e3333707c49c11cffcc3513de406.apk","D:\train\0009c0561158e9f28582dd2c62c7b1ee9789e3333707c49c11cffcc3513de406.apk","train","D:\train\train\0009c0561158e9f28582dd2c62c7b1ee9789e3333707c49c11cffcc3513de406.apk","moved"
"D:\train","0010fa79042522c15385c043bdd817d1435dbcdc0d20777d9f0f949582b8c38d","0010fa79042522c15385c043bdd817d1435dbcdc0d20777d9f0f949582b8c38d.apk","D:\train\0010fa79042522c15385c043bdd817d1435dbcdc0d20777d9f0f949582b8c38d.apk","_unmatched_not_in_split_csv","D:\train\_unmatched_not_in_split_csv\0010fa79042522c15385c043bdd817d1435dbcdc0d20777d9f0f949582b8c38d.apk","moved"
"D:\train","00243571b972d509f219cdb71df7450aa1fc3d2706c36d7b72a03c534e7790a8","00243571b972d509f219cdb71df7450aa1fc3d2706c36d7b72a03c534e7790a8.apk","D:\train\00243571b972d509f219cdb71df7450aa1fc3d2706c36d7b72a03c534e7790a8.apk","train","D:\train\train\00243571b972d509f219cdb71df7450aa1fc3d2706c36d7b72a03c534e7790a8.apk","moved"
"D:\train","0024bfc367926f6a20a6c9d060795a3423aece6df6a52ec77548ab4a59029c06","0024bfc367926f6a20a6c9d060795a3423aece6df6a52ec77548ab4a59029c06.apk","D:\train\0024bfc367926f6a20a6c9d060795a3423aece6df6a52ec77548ab4a59029c06.apk","val","D:\train\val\0024bfc367926f6a20a6c9d060795a3423aece6df6a52ec77548ab4a59029c06.apk","moved"
"D:\train","00312d87127bc6bb8b3e8eb1dc3769706defdba42707e78467abd834b0eb2c52","00312d87127bc6bb8b3e8eb1dc3769706defdba42707e78467abd834b0eb2c52.apk","D:\train\00312d87127bc6bb8b3e8eb1dc3769706defdba42707e78467abd834b0eb2c52.apk","_unmatched_not_in_split_csv","D:\train\_unmatched_not_in_split_csv\00312d87127bc6bb8b3e8eb1dc3769706defdba42707e78467abd834b0eb2c52.apk","moved"
"D:\train","0038e7a13a9d44bc9cc1fbdf6772c664eb78b7b7f81213d2112481e3b170b010","0038e7a13a9d44bc9cc1fbdf6772c664eb78b7b7f81213d2112481e3b170b010.apk","D:\train\0038e7a13a9d44bc9cc1fbdf6772c664eb78b7b7f81213d2112481e3b170b010.apk","_unmatched_not_in_split_csv","D:\train\_unmatched_not_in_split_csv\0038e7a13a9d44bc9cc1fbdf6772c664eb78b7b7f81213d2112481e3b170b010.apk","moved"
"D:\train","00856d0a774599140d82c9b03910129fe331646f8eaa3757efac187b1cfda1f6","00856d0a774599140d82c9b03910129fe331646f8eaa3757efac187b1cfda1f6.apk","D:\train\00856d0a774599140d82c9b03910129fe331646f8eaa3757efac187b1cfda1f6.apk","_unmatched_not_in_split_csv","D:\train\_unmatched_not_in_split_csv\00856d0a774599140d82c9b03910129fe331646f8eaa3757efac187b1cfda1f6.apk","moved"
"D:\train","0088072af69bd65c6db34637cdd48d2e90c3ec0998fd21485ec2a73697403ed8","0088072af69bd65c6db34637cdd48d2e90c3ec0998fd21485ec2a73697403ed8.apk","D:\train\0088072af69bd65c6db34637cdd48d2e90c3ec0998fd21485ec2a73697403ed8.apk","train","D:\train\train\0088072af69bd65c6db34637cdd48d2e90c3ec0998fd21485ec2a73697403ed8.apk","moved"
"D:\train","008b1971d64377db17ab4311827c254171d35eeb0d756eeb9e694846d6fff2a8","008b1971d64377db17ab4311827c254171d35eeb0d756eeb9e694846d6fff2a8.apk","D:\train\008b1971d64377db17ab4311827c254171d35eeb0d756eeb9e694846d6fff2a8.apk","_unmatched_not_in_split_csv","D:\train\_unmatched_not_in_split_csv\008b1971d64377db17ab4311827c254171d35eeb0d756eeb9e694846d6fff2a8.apk","moved"
